id,keyword,matchType,replyTemplate,category,targetType,targetNamesJson,priority,enabled,createdAt,updatedAt,tenantId,syncVersion,deleted,remoteId
1281,"温泉, 泡温泉, 温泉池, 热水, 暖水, 私汤, 泡池",CONTAINS,"这栋别墅带有泡池,可泡私汤（普通热水）

【泡池】：4月30日前可免费送一池普通热水，（限晴天白天使用）；确定使用，请提前1天说明并于入住当天16:00前确定好放水的时间,以免太晚工作人员下班无法使用；
其它日期：150一池热水","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934256,1780193934256,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_339
1282,"有新单后立即",CONTAINS,"亲,把您的微信号发我一下哦,后续方便房东（别墅的经营管理者）安排您入住哦!","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934260,1780193934260,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_341
1283,"看房, 看一下房子, 实体, 现场",CONTAINS,"1、下单后可以看房哦,看了如果不满意的话可以全额退款!
2、看房需提前约好时间哦🌹","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934250,1780193934250,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_336
1284,"娱乐, 设备, 玩, 麻将, 有什么, 滑梯, 滑滑梯, 投篮",CONTAINS,"【娱乐设施】电动麻将机、火锅、双炉烧烤炉、卡拉OK、投影仪（3台，120寸幕布）、电视（55寸）大泳池、恒温冲浪水疗泡池、休闲桌椅、滑滑梯、投靶、蹦蹦床、游戏机（体感游戏）、PS4游戏机、桌球、积木、跳跳马、足球、篮球、不倒翁、木马、花生球；
✓参加活动，免费使用娱乐项目，沙包投掷、萝卜蹲、敲锣、好运滚滚、羽毛球、毽子、飞镖、体感枪、泡泡机、套鸭子、坐骑、水枪、浮板；儿童乐园玩具（彩虹隧道、夜光飞盘、仿真昆虫玩具、套圈环）、卡通及章鱼气球、橡皮筋飞鸟、声光宝剑喷雾枪、冲天火剑、磁力棒泡沫积木、飞行棋、链条卡通玩具；
✓更多付费娱乐项目可供选择儿童专用欢乐泳池、喷水城堡
✓24小时唱歌：晚上10点后可到三楼包厢唱歌","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934237,1780193934237,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_329
1285,"户型, 面积, 几楼, 几张床, 几房, 床多大的, 多少张床",CONTAINS,"1.8米的床按住3人计，为上限可住人数；总面积350㎡
沙发床默认沙发，铺成床，提前1天说明；
##为6房户型，5房该房间不开放
一楼（4-5人）：
客厅（KTV、投影仪）、电动麻将机、餐厅、厨房、花园（泳池、  双炉烧烤桌、泡池）、停车位、洗手间
房间1[2米床]※榻榻米通铺，可拆分成2个1米床                   
##房间2[1.2米床+1.2米床]

二楼（7-9人）：
套房3[1.8米床+1.2米沙发床▲+游戏机+卫浴+阳台]
套房4[1.5米床+1.8榻榻米床+投影仪+卫浴]

三楼（7-10人）：
套房5[1.8米床+1米沙发床▲+卫浴+阳台]、+露台+桌球
房间6[1.8沙发床▲+1.8沙发床▲+投影仪+音响+麦克风]、可做单独卡拉OK包厢（不含付费软件）","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934241,1780193934241,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_332
1286,"泳池, 泳池多大, 泳池尺寸, 水池, 游水, 游泳池, 恒温泳池泳池另加, 泳池另外收费",CONTAINS,"【常温泳池按需收费】 
      循环用水； 200/晚  全新加水：300/晚，
  ※🌷当泳池干池或水质不宜循环用时，只能全新加水；可提前一天与房东 
       确认水质  情况，自由选择；
       泡池：200一池水

【设施】
 圆形泡池：直径2.7（使用请于当天16：00前确认好放水时间） 
  泳池尺寸：3*6*1m（使用泳池提前1天说明）","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934228,1780193934228,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_325
1287,"有水收费, 不加水也收费, 有水也收费",CONTAINS,"泳池有干净水的情况下，用户使用泳池，需要开启水循环净化系统，消毒，杀菌净化、补水；

否则人体皮肤会有油垢、污质、各类代谢物，没有开水循环净化消毒，水一下子变脏，泳池壁会形成一层油垢；后期整池水只能作废；  泳池的收费仅是能耗的成本哦！ 谢谢理解！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934232,1780193934232,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_327
1288,"拼, 拼床",CONTAINS,"亲，拼床的时候请不要破坏床体；退房时请把床放回原位哦；以免房东找人抬床产生额外的费用的哦！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934239,1780193934239,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_331
1289,"温泉, 泡温泉, 泡池, 恒温, 温泉池, 热水, 私汤, 暖水",CONTAINS,"1、使用泡池额外付费150元一池水（普通热水）恒温2小时+余温约可用4小时；
2、使用请提前1天说明否则可能来不及准备影响使用！

恒温泡池：
1、多功能（冲浪、按摩功 、SPA水疗）缓解疲劳
2、自动循环过滤、消毒杀菌；多人使用保持干净卫生
3、恒温热水40°C，寒冬也很热
4、泡池尺寸：2*2m","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934257,1780193934257,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_340
1290,"泳池, 泳池多大, 泳池尺寸, 水池, 游水, 游泳, 恒温泳池, 游泳池, 泳池额外收费, 泳池费, 泳池另加, 泳池另外收费",CONTAINS,"1、【泡池】150元 / 池（普通热水），需在 16:00 前确认放水时间。
      【泳池】7-8月份及长假不含末日免费（仅限循环用水），其它日期按需收费；收费标准为：循环用水：200/晚；全新加水常500 元 / 晚（常温）；
 ※使用请提前说明，否则可能来不及准备，预订当天入住有可能来不及准备无法使用；
  ※🌷当泳池为干池或水质不宜循环用时，只能全新加水；可提前1天与房东确认水质情况，自由选择； 
2、设施规格：
泳池（含中间水上乐园）：6.5×3.5×0.8m，泳池有水时不支持排干水，使用娱乐设备
泡池：直径 2.4 米","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934230,1780193934230,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_326
1291,"娱乐, 设备, 玩, 有什么, 滑梯, 滑滑梯, 投篮",CONTAINS,"娱乐项目:炭烤桌、火锅（电磁炉）、麻将、秋千、卡拉OK(JBL品牌)、桌球、乒乓球、xbox游戏机（体感+手柄均有）、大泳池、儿童乐园、摇摇椅（滑滑梯、蹦蹦床、套圈圈、投壶、投靶、翘翘板、摇摇马、儿童游戏垫、不倒翁、跳跳球）、恒温SPA泡池、喷水城堡；
参加活动免费娱乐设备：泳圈、水上篮球、坐骑、水上西瓜球、加特林水枪；","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934263,1780193934263,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_342
1292,"看房, 实地",CONTAINS,"亲，可以看房，先下单后，才能平台上才可以联系上；约个时间看房； 看了不满意是可以全额退款的哦！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934252,1780193934252,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_337
1293,"火锅, 打边炉, 电磁炉",CONTAINS,"亲，别墅带有火锅的设备，电磁炉+汤锅，一栋别墅标配一个电磁炉，配汤锅使用；","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934272,1780193934272,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_346
1294,"玩游戏, 游戏机, 游戏, switch, ps4, xbox, 街机, ps5",CONTAINS,"亲,这一栋带有两个游戏机（二选择一），使用请提前1天说明；
1、体感游戏机
2、PS4游戏机（24个游戏 ）","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934243,1780193934243,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_333
1295,"泳池多大的, 泳池多大, 泳池尺寸, 泳池, 游水, 游泳, 恒温泳池, 游泳池, 泳池收费, 泳池额外收费, 泳池费, 泳池另加, 泳池另外收费",CONTAINS,"1、泳池、泡池
【泡池】150一池热水（普通热水），使用提前1天说明
【泳池】7-8月份免费（仅限循环用水），其它日期按需收费；收费标准为：循环用水：200/晚；全新加水常500 元 / 晚（常温）；
 ※使用请提前说明，否则可能来不及准备，预订当天入住有可能来不及准备无法使用；
※🌷当泳池为干池或水质不宜循环用时，只能全新加水；可提前1天与房东确认水质情况，自由选择； 
【泳池花园互通】：即泳池花园无栅栏隔开，可相互走动；住户一般在自己别墅所在区块所属范围内的花园娱乐；当隔壁栋无人的情况为独享；反之与隔壁共用泳池；
从目前用户使用情况来看，互不影响；经常不同栋的别墅用户相互串门分享泳池呢！
2、泳池恒温功能该季节不开放
除特别说明外,别墅内设备均免费使用!
【尺寸】
  ❮超大泳池❯：尺寸20*2.6*1.2m
  ❮三角泡池❯：尺寸：3*2.3m","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934265,1780193934265,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_343
1296,"新的水, 全新的水, 全新水, 新水, 当天放的水, 换水",CONTAINS,"除非您要求全新换水（全新换水，费用查看平台须知），否则都是循环用水；大泳池带水循环净化系统都是循环用水的哦！循环水也是干净的哦，泡池才能一客一换！

如需全新换水请提前说明，夏天用水高峰，换水时间较长，4-10小时不等哦！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934218,1780193934218,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_321
1297,"泳池, 泳池多大, 泳池尺寸, 水池, 游水, 游泳池, 恒温泳池, 泳池额外收费, 泳池费, 泳池另加, 泳池另外收费",CONTAINS,"【泳池】
 5、10月的周六及法定节假日（不含末日）免费；6-9月免费，其余按需收费。免费均仅限循环用水。
【费用标准】循环用水：150/晚，全新加水：300/次
【恒温冲浪泡池】默认不开放，使用150元一池普通热水，恒温2小时，免费中药实现瑶浴","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934211,1780193934211,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_318
1298,"能住几人, 住多少人, 加人",CONTAINS,"平台上有相关的居住人数说明哦!加人不加床的哦，人数多不会多配备生活用品，只要您住得下即可；","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934202,1780193934202,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_314
1299,"娱乐, 设备, 玩, 泡池, 泡温泉, 麻将, 有什么",CONTAINS,"电动麻将机、烧烤炉、电视、游戏机、黑板、幻彩秋千、WiFi","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934206,1780193934206,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_316
1300,"娱乐, 设备, 玩, 泡池, 泡温泉, 麻将, 有什么, 滑梯, 滑滑梯, 投篮",CONTAINS,"★娱乐项目:烧烤、火锅、麻将、卡拉OK、泡池（直径2.4）、泳池、泳池含儿童水上乐园（尺寸6.5*3.5*0.8米）、超炫七彩舞台灯光

2、22:00后遵守物业规定不扰民,22点前进行卡拉OK
3、水上乐园设别于22:00关闭,避免扰民","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934205,1780193934205,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_315
1301,"泳池, 泳池多大, 泳池尺寸, 水池, 游水, 游泳, 恒温泳池, 游泳池, 泳池额外收费, 泳池费, 泳池另加, 泳池另外收费",CONTAINS,"1、泳池、泡池
     【泡池】（普通热水）免费送一池水（1个泡池），使用提前1天预约，仅限4月30日之前；其它日期150/池热水
     【泳池】7-8月份免费（仅限循环用水），其它日期按需收费；收费标准为：循环用水：200/晚；全新加水常500 元 / 晚（常温）；
        ※使用请提前说明，否则可能来不及准备，预订当天入住有可能来不及准备无法使用；
        ※🌷当泳池为干池或水质不宜循环用时，只能全新加水；可提前1天与房东确认水质情况，自由选择； 
2、泳池恒温功能该季节不开放
除特别说明外,别墅内设备均免费使用!
【尺寸】
  ❮超大泳池❯：尺寸20*2.6*1.2m
  ❮三角泡池❯：尺寸：3*2.3m","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934208,1780193934208,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_317
1302,"恒温泳池, 恒温",CONTAINS,"恒温泳池水温为30℃，泳池水加热保持30度的左右的恒温哦!与平常泳游管的恒温泳池水的温度差不多；没有冬泳习惯的不建议用，会觉得冷哦，而且成本也较高的哦!如果人多划算的,人少的话建议用泡池会好一些的哦! 

恒温泳池：第1晚1500/晚，第2晚起1000/晚；

该季节不开放哦","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934189,1780193934189,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_309
1303,"美的鹭湖, 鹭湖, 别墅, 度假区",CONTAINS,"房子为""美的鹭湖森林度假区""里面的别墅,离景区较近,几十到1km不等，度假区内有观光车,开往景区,人均5元！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934137,1780193934137,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_284
1304,"延迟, 早点入住, 延时退房, 提早入住, 提前入住, 晚点退房",CONTAINS,"平日提前入住 或 延时退房,按100-200元/小时计算;  

周五\周六及节日不支持提前入住或延时退房哦! 按天计算

若有提前或延迟,房东只能当天早上10点,确认对应日期无人入住,才能答复是否可行.

请于正常的入住时间入住(14:00-次日12:00)","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934158,1780193934158,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_295
1305,"玩游戏, 游戏机, 游戏, switch, ps4, xbox",CONTAINS,"亲,这一栋带有xbox360的游戏机哦,里面有很多游戏可以免费玩的哦!","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934140,1780193934140,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_285
1306,"门票, 景点, 景区",CONTAINS,"我们只提供别墅住宿，度假区内的付费景点、商业消费等需您自行购买哦~","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934157,1780193934157,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_294
1307,"怎么联系, 联系电话, 联系方式, 微信, 联系",CONTAINS,"亲,平台要求下单后才能发相关的信息,否则发信息受限哦!  确定好日期直接下单即可!","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934119,1780193934119,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_277
1308,"娱乐, 设备, 玩, 泡池, 泡温泉, 麻将, 有什么",CONTAINS,"★娱乐项目:烧烤、火锅、麻将、卡拉OK、泡温泉、泳池、儿童水上乐园(五锥倒水桶）空中滑滑梯蹦蹦床、超炫七彩舞台灯光
※泳池、泡池按需收费;(不使用无该项费用)
   泡池:200/池（热水，尺寸直径2.7米）

【 常温泳池】 ：循环用水：200/天，全新开池：300元
              循环用水：泳池有干净水可用，无需全新开池

——除泳池、泡池外,别墅内设备均免费使用!
2、22:00后遵守物业规定不扰民,22点前进行卡拉OK
3、水上乐园设别于22:00关闭,避免扰民","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934173,1780193934173,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_304
1309,"几层, 几楼, 户型, 户型分布, 几房, 几个房间, 独卫, 几个房, 房间, 床, 卫生间, 厕所",CONTAINS,"别墅由A、B联排组成一大栋,7房11床可住16-19人,面积413平
A栋:
一楼:客厅(KTV+麻将桌+电视)\餐厅厨房\花园(泳池+烧烤桌+休闲椅)  \卫生间;                               
二楼:  房间1(4人):[1.5米床+1.5米床]
          房间2(2人)[1.2米床+1.2米床+阳台]
          卫浴
 三楼:房间3(2-3人)[1张1.8米床+卫浴+露台+阳台]
 四楼:房间4(1人):[1.2米床]复式楼层无单独门
         ※复式楼层:抵达房间经过三楼房间,与三 楼房间共用门;正常的层高;                       
B栋:
  一楼:客厅（麻将桌+电视)\餐厅厨房\花园(泳池+烧烤桌+休闲椅+空中滑滑梯）卫生间; 
   二楼：房间5(4人):[1.5米床+1.5米床]
              房间6(2人)[1.2米床+1.2米床+阳台]
               卫浴
   三楼:   套房7(2-3人)[1张1.8米床+卫浴+露台+阳台]","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934170,1780193934170,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_302
1310,"几层, 几楼, 户型, 户型分布, 几房, 几个房间, 独卫, 几个房, 房间, 床, 卫生间, 厕所",CONTAINS,"★独栋别墅,与隔壁栋互通花园及20米大泳池(隔壁栋空房时即独享)★

1、娱乐设备全:KTV、炭烤炉、麻将、火锅(电磁炉+汤锅),
     儿童水上乐园(空中滑滑梯滑到泳池)游戏机、超炫七彩舞台灯光

     三角泡池(3*2.3m,当前价格不包含)、超大恒温泳池(20*2.6*1.2m,恒温功能仅冬天开放)

    花园及大泳池为两栋联排共用,只有当其中一栋空房时方可独享;

2、户型
   3房5床可住9人
  一楼:客厅(KTV+麻将桌+电视)\餐厅厨房\花园(泳池+烧烤桌+休闲椅+空中滑滑梯）卫生间; 

   二楼：房间1(4人):[1.5米床+1.5米床]
              房间2(2人)[1.2米床+1.2米床+阳台]
              卫浴

 三楼:套房3(2-3人)[1张1.8米床+卫浴+露台+阳台]","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934167,1780193934167,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_300
1311,"泳池多大的, 泳池多大, 泳池尺寸, 泳池, 游水, 游泳池, 恒温泳池, 泳池收费, 泳池额外收费, 泳池费, 泳池另加, 泳池另外收费",CONTAINS,"1、泳池、泡池
   【泡池】150一池热水（普通热水），使用提前1天说明
   【泳池】7-8月份免费，其它日期按需收费；收费标准为：循环用水：200/晚；全新加水常500 元 / 晚（常温）；
 ※使用请提前说明，否则可能来不及准备，预订当天入住有可能来不及准备无法使用；
  ※🌷当泳池为干池或水质不宜循环用时，只能全新加水；可提前1天与房东确认水质情况，自由选择； 
【泳池花园互通】：即泳池花园无栅栏隔开，可相互走动；住户一般在自己别墅所在区块所属范围内的花园娱乐；当隔壁栋无人的情况为独享；反之与隔壁共用泳池；
从目前用户使用情况来看，互不影响；经常不同栋的别墅用户相互串门分享泳池呢！
2、泳池恒温功能该季节不开放
除特别说明外,别墅内设备均免费使用!
【尺寸】
  ❮超大泳池❯：尺寸20*2.6*1.2m
  ❮三角泡池❯：尺寸：3*2.3m","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934181,1780193934181,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_306
1312,"开发票",CONTAINS,"房子订价较低，价格不包含发票，如需开票按5%税点收，退房后支付税点给房东由房东找人代为开票哦！谢谢理解🌹","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934198,1780193934198,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_312
1313,"ktv唱到几点, 唱歌唱几点, 唱歌时间, 唱歌到10点, K歌到几点, 唱歌, KTV, 卡拉OK, K歌能到几点, 唱歌到几点, 唱歌有没有时间限制, K歌, 歌",CONTAINS,"应相关部门的要求,22:00后自动关闭哦! 可用时间9：00-22：00之间","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934172,1780193934172,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_303
1314,"麻将, 麻雀",CONTAINS,"亲,每栋别墅都标配有一台电动麻将桌哦! ktv设备  炭烤炉  火锅用具","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934151,1780193934151,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_291
1315,"身份证, 登记",CONTAINS,"入住前房东会发您公安局要求的登记系统，登记信息就可以了；操作很简单，只要线上操作就行了","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934153,1780193934153,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_292
1316,"温泉, 泡温泉, 泡池, 恒温",CONTAINS,"1、恒温冲浪水疗泡池（普通热水）,泡池在花园.
2、150元一池水，仅限晴天使用，使用请提前1天说明；
3、该泡池恒温持续开启2小时+余温，约可用4小时左右;
4、用泡池可免费送一包中药，实现瑶浴（祛湿、缓解疲劳）；","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934071,1780193934071,30c30b28-89d0-4db8-bed4-7666b065355e,178280423884,0,30c30b28-89d0-4db8-bed4-7666b065355e_257
1317,"押金, 收押金, 需要收押金吗",CONTAINS,"1、线下收押金,具体金额不同别墅的押金不一样,以平台须知说明为准；大体500-1000不等；
2、遵守入住守则,不搞破坏脏乱差,退房后;管家检查没有问题原路退还的哦!","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934062,1780193934062,30c30b28-89d0-4db8-bed4-7666b065355e,178280423884,0,30c30b28-89d0-4db8-bed4-7666b065355e_253
1318,"兜底回复",CONTAINS,"亲,我在高速上,预订1个小时后到服务区,下高速后,马上回您消息哦!  谢谢您的理解!","通用问题",PROPERTY,"[""通用问题""]",0,0,1780193934064,1780193934064,30c30b28-89d0-4db8-bed4-7666b065355e,178280423884,0,30c30b28-89d0-4db8-bed4-7666b065355e_254
1319,"发图片, 图片, 实拍的图片, 是真实的吗, 一样, 实景照片, 实景, 实物相符, 随机",CONTAINS,"平台上的图片均为实拍,展示的图片即对应您入住的房源哦!","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934117,1780193934117,30c30b28-89d0-4db8-bed4-7666b065355e,178280421786,0,30c30b28-89d0-4db8-bed4-7666b065355e_276
1320,"调料",CONTAINS,"别墅都不提供调料等涉及食品安全的哦!调料需要自行带哦!只提供做饭工具、餐具、烧烤炉...等工具类物品;","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934049,1780193934049,30c30b28-89d0-4db8-bed4-7666b065355e,178280423884,0,30c30b28-89d0-4db8-bed4-7666b065355e_249
1321,"宠物, 狗, 猫",CONTAINS,"亲，可以带宠物，但务必注意宠物卫生。
1、宠物请圈养在花园禁止入屋内，不能随地排泄、掉毛，不能破坏物品或损坏家具，禁止下泳池或泡池玩水
2、度假区保洁费用较高，宠物产生的垃圾需自行清理，避免产生额外保洁费🙏","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934073,1780193934073,30c30b28-89d0-4db8-bed4-7666b065355e,178280423884,0,30c30b28-89d0-4db8-bed4-7666b065355e_258
